time,DTI,GTI,TA,TPV,Ia,Ig,Eg,Fg,Pg,Va,Vg,Fault
2023-01-28 05:15:00+00:00,99.70933333333333,694.8009999999999,31.4922,51.104166666666664,5.448,3.8739999999999997,0.8994,49.958,922.84,179.68,234.96,0.0
2023-01-28 05:20:00+00:00,106.67533333333333,698.1443333333333,31.973666666666666,52.03626666666666,5.3839999999999995,3.838,0.9693599999999999,49.9616,913.66,179.52,234.6,0.0
2023-01-28 05:25:00+00:00,123.68266666666668,717.312,32.31496666666666,52.110166666666665,5.624,3.9819999999999998,1.03682,49.978199999999994,948.26,179.38,234.92,0.0
2023-01-28 05:30:00+00:00,233.14,751.1873333333334,33.02943333333333,53.73933333333333,5.704,4.0,1.11366,49.9952,952.98,177.12,234.74,0.0
2023-01-28 05:35:00+00:00,341.75033333333334,429.202,33.028400000000005,50.367000000000004,3.04,2.128,1.16548,49.963,509.58,177.42,233.9,0.0
2023-01-28 05:40:00+00:00,348.503,474.672,32.9257,46.8371,3.642,2.638,1.20106,49.9736,629.0,181.42,233.92,0.0
2023-01-28 05:45:00+00:00,258.5366666666667,330.478,32.545766666666665,45.17386666666667,2.436,1.7,1.24146,49.959399999999995,408.5,179.36,233.42,0.0
2023-01-28 05:50:00+00:00,227.13066666666666,240.847,32.093700000000005,41.58566666666667,1.692,1.222,1.2583,49.9458,296.4,180.82,232.98,0.0
2023-01-28 05:55:00+00:00,194.942,211.44033333333334,32.02406666666666,39.420433333333335,1.546,1.14,1.27144,49.9664,276.38,179.5,232.98,0.0
2023-01-28 06:00:00+00:00,204.09966666666668,222.375,31.908633333333334,38.31953333333333,1.636734693877551,1.1918367346938776,1.2854285714285714,49.93857142857142,287.8775510204082,181.26530612244898,232.91836734693877,0.0
2023-01-28 06:05:00+00:00,207.068,223.21933333333334,31.837966666666663,37.732733333333336,1.722,1.244,1.3002799999999999,49.934,300.58,182.38,233.0,0.0
2023-01-28 06:10:00+00:00,156.147,165.05966666666666,31.464533333333335,36.87093333333333,1.208,0.91,1.3121800000000001,49.928599999999996,221.32,178.16,232.78,0.0
2023-01-28 06:15:00+00:00,138.06199999999998,144.24033333333333,31.18116666666667,35.6028,1.07,0.8220000000000001,1.31912,49.943599999999996,200.4,176.06,232.9,0.0
2023-01-28 06:20:00+00:00,125.46966666666667,133.17333333333335,31.083133333333336,34.9231,1.032,0.7759999999999999,1.3259200000000002,49.955600000000004,191.44,176.84,232.86,0.0
2023-01-28 06:25:00+00:00,154.295,161.64666666666668,31.006800000000002,34.565533333333335,1.3159999999999998,0.998,1.3332,49.97560000000001,245.26,180.6,233.0,0.0
2023-01-28 06:30:00+00:00,163.87966666666668,170.30966666666666,30.946500000000004,34.8767,1.3479999999999999,1.028,1.3432,50.025,249.9,182.2,233.0,0.0
2023-01-28 06:35:00+00:00,121.28033333333333,126.365,30.7387,34.705733333333335,0.926,0.732,1.35192,50.023,181.78,180.68,233.0,0.0
2023-01-28 06:40:00+00:00,112.80966666666667,118.60399999999998,30.568933333333334,34.0377,0.8960000000000001,0.704,1.3571,49.996,176.24,181.94,233.0,0.0
2023-01-28 06:45:00+00:00,112.63066666666666,117.61666666666666,30.509800000000002,33.65873333333334,0.898,0.708,1.3621,50.031800000000004,179.5,182.12,233.0,0.0
2023-01-28 06:50:00+00:00,120.13333333333334,125.61466666666666,30.346633333333333,33.34576666666666,1.006,0.76,1.3671,50.0038,186.78,178.3,233.0,0.0
2023-01-28 06:55:00+00:00,137.53733333333332,142.65166666666667,30.272633333333335,33.46196666666667,1.172,0.878,1.3727600000000002,50.032,216.8,178.32,233.18,0.0
2023-01-28 07:00:00+00:00,180.46733333333333,188.56266666666667,30.354366666666664,34.1684,1.6020408163265305,1.1653061224489796,1.3829591836734694,49.9865306122449,282.8979591836735,182.9591836734694,233.20408163265307,0.0
2023-01-28 07:05:00+00:00,204.51,211.91366666666667,30.245833333333334,35.39673333333334,1.712,1.212,1.3973,50.033,296.54,184.04,233.48,0.0
2023-01-28 07:10:00+00:00,217.09300000000002,225.44266666666667,30.424899999999997,36.24803333333333,1.8219999999999998,1.3219999999999998,1.41232,50.0112,320.1,183.16,233.68,0.0
2023-01-28 07:15:00+00:00,243.70966666666664,255.9226666666667,30.428499999999996,37.0231,2.096,1.54,1.43042,50.033,372.76,183.7,233.72,0.0
2023-01-28 07:20:00+00:00,286.62033333333335,309.551,30.5878,38.491166666666665,2.5180000000000002,1.88,1.45536,50.0266,449.78,186.3,233.34,0.0
2023-01-28 07:25:00+00:00,251.06233333333333,262.568,30.9053,39.446666666666665,2.104,1.584,1.4802199999999999,50.0308,381.08,184.24,233.78,0.0
2023-01-28 07:30:00+00:00,250.59166666666667,265.29533333333336,31.1062,39.68566666666667,2.178,1.656,1.50144,50.0166,398.0,184.36,233.84,0.0
2023-01-28 07:35:00+00:00,224.0186666666667,235.28366666666668,31.2353,39.605266666666665,1.926,1.386,1.52054,50.0084,335.74,182.72,233.74,0.0
